code,en_name,en_simp,cn_name,cn_simp
0001,universityofoxford,uoo,牛津大学,牛津
0002,californiainstituteoftechnology,ciot,加州理工学院,加州理工
0003,universityofcambridge,uoc,剑桥大学,剑桥
0004,stanforduniversity,su,斯坦福大学,斯坦福
0005,massachusettsinstituteoftechnology,miot,麻省理工学院,麻省理工
0006,princetonuniversity,pu,普林斯顿大学,普林斯顿
0007,harvarduniversity,hu,哈佛大学,哈佛
0008,yaleuniversity,yu,耶鲁大学,耶鲁
0009,universityofchicago,uoc,芝加哥大学,芝加哥
0010,imperialcollegelondon,icl,帝国理工学院,帝国理工
0011,universityofpennsylvania,uop,宾夕法尼亚大学,宾夕法尼亚
0012,johnshopkinsuniversity,jhu,约翰霍普金斯大学,约翰霍普金斯
0013,"universityofcalifornia, berkeley",uoc,加州大学伯克利分校,加州伯克利分校
0014,ethzurich,ez,苏黎世联邦理工学院,苏黎世联邦理工
0015,ucl,UCL,伦敦大学学院,伦敦
0016,columbiauniversity,cu,哥伦比亚大学,哥伦比亚
0017,"universityofcalifornia,losangeles",uocla,加州大学洛杉矶分校,加州洛杉矶分校
0018,universityoftoronto,uot,多伦多大学,多伦多
0019,cornelluniversity,cu,康奈尔大学,康奈尔
0020,dukeuniversity,du,杜克大学,杜克
0021,"universityofmichigan,annarbor",uomaa,密歇根大学安娜堡分校,密歇根安娜堡分校
0022,northwesternuniversity,nu,西北大学,西北
0023,tsinghuauniversity,tu,清华大学,清华
0024,pekinguniversity,pu,北京大学,北京
0025,nationaluniversity ofsingapore,nus,新加坡国立大学,新加坡国立
0026,universityofwashington,uow,华盛顿大学,华盛顿
0027,carnegiemellonuniversity,cmu,卡耐基梅隆大学,卡耐基梅隆
0028,londonschoolofeconomicsandpoliticalscience,lsoeaps,伦敦政治经济学院,伦敦政治经济
0029,newyorkuniversity,nyu,纽约大学,纽约
0030,universityofedinburgh,uoe,爱丁堡大学,爱丁堡
0031,"universityofcalifornia,sandiego",uocsd,加州大学圣地亚哥分校,加州圣地亚哥分校
0032,lmumunich,lm,慕尼黑大学,慕尼黑
0033,universityofmelbourne,uom,墨尔本大学,墨尔本
0034,universityofbritishcolumbia,uobc,英属哥伦比亚大学,英属哥伦比亚
0035,universityofhongkong,uohk,香港大学,香港
0036,king’scollegelondon,kcl,伦敦大学国王学院,伦敦国王
0037,theuniversityoftokyo,tuot,东京大学,东京
0038,écolepolytechniquefédéraledelausanne,épfdl,洛桑联邦理工学院,洛桑联邦理工
0039,georgiainstituteoftechnology,giot,佐治亚理工学院,佐治亚理工
0040,universityoftexasataustin,uotaa,德克萨斯大学奥斯汀分校,德克萨斯奥斯汀分校
0041,karolinskainstitute,ki,卡罗琳学院,卡罗琳
0042,mcgilluniversity,mu,麦吉尔大学,麦吉尔
0043,technicaluniversityofmunich,tuom,慕尼黑工业大学,慕尼黑工业
0044,heidelberguniversity,hu,海德堡大学,海德堡
0045,kuleuven,kl,鲁汶大学（荷语）,鲁汶（荷语）
0046,parissciencesetlettres–pslresearchuniversityparis,psel–prup,巴黎人文与科学学院,巴黎人文与科学
0047,thehongkonguniversityofscienceandtechnology,thkuosat,香港科技大学,香港科技
0048,"universityofillinoisaturbana,champaign",uoiauc,伊利诺伊大学厄本那-香槟分校,伊利诺伊厄本那-香槟分校
0049,"nanyangtechnologicaluniversity,singapore",ntus,南洋理工大学,南洋理工
