aid,sub,本科学校档次,本科专业,本科成绩和算法、排名,其他说明,研究生专业,研究生成绩和算法、排名,研究生学校档次,IELTS_Overall,IELTS_R,IELTS_L,IELTS_S,IELTS_W,TOEFL_Overall,TOEFL_R,TOEFL_L,TOEFL_S,TOEFL_W,GRE_Overall,GRE_V,GRE_Q,GRE_AW,GMAT_Overall,GMAT_Q,GMAT_V,LSAT
1706120,,国内其他高校,,,,,,,,,,,,,,,,,,,,,,,,
1711260,,国内其他高校,化学,3.7/4  4/35,,,,,,,,,,,,,,,,,,,,,,
1713253,,国内其他高校,,,,,,,,,,,,,,,,,,,,,,,,
1714298,,国内其他高校,~,~,,,,,,,,,,,,,,,,,,,,,,
1799378,,211 & 985,,,,,,,6.5,7,7,5.5,6.5,,,,,,,,,,,,,
1801693,,211 & 985,经济,3.8/4.0 综合排名第一,,,,,6.5,7,7,6.5,5.5,,,,,,,,,,,,,
1804813,,211,统计,,,,,,6.5,7,6,6.5,6,,,,,,,,,,,,,
1805238,,,Political Science,3.9/4,                               ,,,,,,,,,,,,,,,,,,,,,
1806345,,211 & 985,,,,,,,,,,,,107,27,29,24,27,,,,,,,,
1808112,,211,统计,,,,,,6.5,7,6,6.5,6,,,,,,,,,,,,,
1809033,,211,食品科学与工程,82/100,国际 会议   两个 英文 文章 - 两篇,Food Science,4.0,,,,,,,,,,,,319,,,3.0,,,,
1809201,,,,,,,,,,,,,,,,,,,,,,,,,,
1810206,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,分子科学与工程,77 50%,社会活动 很多 院团委 部长 班长,,,,6.5,7,7,6,5.5,,,,,,,,,,,,,
1810523,,双非,视觉传达设计,3.46/4(wes),,,,,,,,,,99,27,27,22,23,,,,,,,,
1812105,,211,食品科学与工程,"87.3,15%",一个 国家级 创新 项目 一篇 中文 论文 两个 研究所 实习 两篇 英文 论文 论文 都 不是 一作,,,,,,,,,106,28,30,24,24,330,160,17-,3.5,,,,
1813607,,**,**,***,,,,,,,,,,,,,,,,,,,,,,
1815100,,双非,,,,,,211 & 985,6.5,6.5,7,6.5,6,,,,,,,,,,,,,
1815320,,211,英语,85 10,一篇 国内 本 专业 论文 实习 若干 体育 相关 经历 若干,英语,90 2,211,,,,,,93,21,26,22,24,300,142,158,3.0,,,,
1816435,,211,新能源材料与器件,,三篇 二作 专利 七篇 目前 中科院 实习 水得 不忍 直视,,,,,,,,,,,,,,,,,,,,,
1818779,,211,金融学,85/100 3.45/4,无 论文 无牛 推年 不到 工作 经验,,,,,,,,,104,30,30,22,22,330,160,170,3.5,720,38,50,
1820405,,,土木工程,3.4/4.3,,,,,8.5,9,9,8,8.5,,,,,,325,154,168,3.0,,,,
1820940,,211 & 985,,,,,,211 & 985,,,,,,,,,,,,,,,,,,
1821077,,双非,临床,87/100,个 项目 个 主要 推荐信 是 个 主要 项目 的 导师 都 是 跟 了 两三年 的 其中 个 项目 做 了 很 久 很 可惜 文章 没 来得及 在 申请 前写 好 但 经历 是 真实 的 所以 还是 很 有 帮助 另 一个 项目 有 几篇 文章 不过 跟 申 的 方向 一点 都 不 而且 申 的 时候 很多 是 到 后来 才 发表,,,,6.5,7.5,6.5,5.5,6.0,,,,,,,,,,,,,
1822310,,211 & 985,英语语言文学,87,无 奖学金 只有 本 专业 相关 研究 经验 有 国际 会议,英语语言文学,87,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,7.5,8,7.5,8,6.5,,,,,,,,,,,,,
1822618,,***,***,***,,,,,,,,,,,,,,,,,,,,,,
1824433,,,,高中申请本科 平均分90 数学不低于93 英语不低于87,,,,,,,,,,,,,,,,,,,,,,
