,aid,sub,本科学校档次,本科专业,本科4.0绩点,本科4.3绩点,本科5.0绩点,本科均分,本科原始成绩,其他说明,研究生专业,研究生4.0绩点,研究生4.3绩点,研究生5.0绩点,研究生均分,研究生原始成绩,研究生学校档次,IELTS_Overall,IELTS_R,IELTS_L,IELTS_S,IELTS_W,TOEFL_Overall,TOEFL_R,TOEFL_L,TOEFL_S,TOEFL_W,GRE_Overall,GRE_V,GRE_Q,GRE_AW,GMAT_Overall,GMAT_Q,GMAT_V,LSAT
0,1706120,,国内其他高校,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1711260,,国内其他高校,化学,3.7,3.55,3.7,87.0,3.7/4  4/35,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1713253,,国内其他高校,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1714298,,国内其他高校,~,,,,,~,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1799378,,211 & 985,,,,,,,,,,,,,,,6.5,7,7,5.5,6.5,,,,,,,,,,,,,
5,1801693,,211 & 985,经济,3.8,3.63,3.8,88.0,3.8/4.0 综合排名第一,,,,,,,,,6.5,7,7,6.5,5.5,,,,,,,,,,,,,
6,1804813,,211,统计,,,,,,,,,,,,,,6.5,7,6,6.5,6,,,,,,,,,,,,,
7,1805238,,,Political Science,3.9,3.72,3.9,89.0,3.9/4,                               ,,,,,,,,,,,,,,,,,,,,,,,,,
8,1806345,,211 & 985,,,,,,,,,,,,,,,,,,,,107,27,29,24,27,,,,,,,,
9,1808112,,211,统计,,,,,,,,,,,,,,6.5,7,6,6.5,6,,,,,,,,,,,,,
10,1809033,,211,食品科学与工程,3.2,3.12,3.2,82,82/100,国际 会议   两个 英文 文章 - 两篇,Food Science,4.0,3.81,4.0,90.0,4.0,,,,,,,,,,,,319,,,3.0,,,,
11,1809201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1810206,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,分子科学与工程,2.7,2.69,2.7,77,77 50%,社会活动 很多 院团委 部长 班长,,,,,,,,6.5,7,7,6,5.5,,,,,,,,,,,,,
13,1810523,,双非,视觉传达设计,3.46,3.34,3.46,84.6,3.46/4(wes),,,,,,,,,,,,,,99,27,27,22,23,,,,,,,,
14,1812105,,211,食品科学与工程,3.73,3.57,3.73,87.3,"87.3,15%",一个 国家级 创新 项目 一篇 中文 论文 两个 研究所 实习 两篇 英文 论文 论文 都 不是 一作,,,,,,,,,,,,,106,28,30,24,24,330,160,17-,3.5,,,,
15,1813607,,**,**,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1815100,,双非,,,,,,,,,,,,,,211 & 985,6.5,6.5,7,6.5,6,,,,,,,,,,,,,
17,1815320,,211,英语,3.5,3.37,3.5,85,85 10,一篇 国内 本 专业 论文 实习 若干 体育 相关 经历 若干,英语,4.0,3.81,4.0,90,90 2,211,,,,,,93,21,26,22,24,300,142,158,3.0,,,,
18,1816435,,211,新能源材料与器件,,,,,,三篇 二作 专利 七篇 目前 中科院 实习 水得 不忍 直视,,,,,,,,,,,,,,,,,,,,,,,,,
19,1818779,,211,金融学,3.45,3.37,3.5,85,85/100 3.45/4,无 论文 无牛 推年 不到 工作 经验,,,,,,,,,,,,,104,30,30,22,22,330,160,170,3.5,720,38,50,
20,1820405,,,土木工程,3.53,3.4,3.53,85.3,3.4/4.3,,,,,,,,,8.5,9,9,8,8.5,,,,,,325,154,168,3.0,,,,
21,1820940,,211 & 985,,,,,,,,,,,,,,211 & 985,,,,,,,,,,,,,,,,,,
22,1821077,,双非,临床,3.7,3.55,3.7,87,87/100,个 项目 个 主要 推荐信 是 个 主要 项目 的 导师 都 是 跟 了 两三年 的 其中 个 项目 做 了 很 久 很 可惜 文章 没 来得及 在 申请 前写 好 但 经历 是 真实 的 所以 还是 很 有 帮助 另 一个 项目 有 几篇 文章 不过 跟 申 的 方向 一点 都 不 而且 申 的 时候 很多 是 到 后来 才 发表,,,,,,,,6.5,7.5,6.5,5.5,6.0,,,,,,,,,,,,,
23,1822310,,211 & 985,英语语言文学,3.7,3.55,3.7,87,87,无 奖学金 只有 本 专业 相关 研究 经验 有 国际 会议,英语语言文学,3.7,3.55,3.7,87,87,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,7.5,8,7.5,8,6.5,,,,,,,,,,,,,
24,1822618,,***,***,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1824433,,,,4.0,3.81,4.0,90,高中申请本科 平均分90 数学不低于93 英语不低于87,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1825692,,211,法学,3.95,3.81,4.0,90,百分制均分90 GPA3.95,两次 交换 经历 台湾 科技 大学 和 马来亚 大学 各半 学期 金杜 海淀法院 北京 证券公司 实习 参与 中国政法大学 博导 研究 项目 没考 司考 最终 决定 去 港 大 给 了 一个 条件 说 毕业 保持 下去 而且 顺利 毕业 我 觉得 应该 没 问题 吧 还 申 了 墨尔本大学 可 还 没 消息 果断 放弃,,,,,,,,,,,,,103,29,27,23,25,,,,,,,,
27,1825739,,211,景观建筑设计,2.6,2.6,2.6,76,76,工作 五年 作品集 是 四个 工作 项目 和 一个 学校 作业,,,,,,,,6.5,7.5,6.5,6,6,,,,,,,,,,,,,
28,1825873,,211,法学,3.95,3.81,4.0,90,百分制均分90 GPA3.95,两次 交换 经历 台湾 科技 大学 和 马来亚 大学 各半 学期 金杜 海淀法院 北京 证券公司 实习 参与 中国政法大学 博导 研究 项目 没考 司考 最终 决定 去 港 大 给 了 一个 条件 说 毕业 保持 下去 而且 顺利 毕业 我 觉得 应该 没 问题 吧 还 申 了 墨尔本大学 可 还 没 消息 果断 放弃,,,,,,,,,,,,,103,29,27,23,25,,,,,,,,
29,1827495,,双非,电气工程及其自动化,2.81,2.78,2.81,78.1,78.1/100,,,,,,,,,,,,,,103,29,29,22,23,316,154,162,3.0,,,,
30,1829795,,,海洋技术,3.6,3.46,3.6,86.0,3.6/4.0,一些 校奖 一个 大学生 创新 创业项目 一篇 水 论文 一点 实习 经历 无 工作 经验 无牛 推,,,,,,,,,,,,,99,29,26,20,24,,,,,,,,
31,1830383,,双非,海洋技术,3.6,3.46,3.6,86.0,3.6/4.0,一些 校奖 一个 大学生 创新 创业项目 一篇 水 论文 一点 实习 经历 无 工作 经验 无牛 推,,,,,,,,,,,,,99,29,26,20,24,,,,,,,,
32,1830461,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,,,,,,,,,,,,,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,,,,,,90,25,22,22,21,,,,,,,,
33,1833588,,双非,市场营销,3.43,3.31,3.43,84.3,3.43/4.0,,,,,,,,,7,8,7.5,6,6.5,,,,,,,,,,,,,
34,1836217,,211 & 985,chemical technology,3.6,3.46,3.6,86.0,3.6/4.0,无 论文 有 的 工作 经验 不是 专业 有关 的,,,,,,,,7.0,6.0,7.0,8.0,6.0,,,,,,,,,,,,,
35,1841008,,双非,软件工程,3.1,3.03,3.1,81.0,3.1 21,,,,,,,,,6.5,7.5,7,5.5,6,,,,,,,,,,,,,
36,1853412,,211,会计,3.5,3.37,3.5,85,85/100,,,,,,,4+/5,Nanyang Technological University,7,8,7.5,6,6,,,,,,,,,,,,,
