,note,name,score
0,"总分：100分
单项：不低于25分",剑桥大学,
1,"总分：7.5以上
单项：不低于7.0分",剑桥大学,
2,剑桥大学只有经济学院（Faculty of Economics）、和商学院（Cambridge Judge Business School）要求递交GRE成绩，其余所有专业、院系都无需GRE成绩,剑桥大学,
3,,剑桥大学,3.5
4,"总分：100
阅读：24
写作：24
听力：22
口语：25",牛津大学,
5,"总分：7.0
阅读：6.5
写作：6.5
听力：6.5
口语：6.5",牛津大学,
6,部分项目需要,牛津大学,
7,,牛津大学,3.5
8,,圣安德鲁斯大学,100
9,,圣安德鲁斯大学,7.0
10,"92；
阅读：20；
写作：20
听力：无
口语：20",帝国理工学院,
11,"6.5；
阅读：6.0；
写作：6.0；
听力：6.0；
口语：6.0",帝国理工学院,
12,,帝国理工学院,3
13,"总分：92
阅读：23
写作：23
听力：23
口语：23",杜伦大学,
14,"总分：6.5
阅读：6.0；
写作：6.0
听力：6.0
口语：6.0",杜伦大学,
15,,杜伦大学,85
16,不低于93分，单项不低于20；部分课程要求有所不同,兰卡斯特大学,
17,不低于6.5分，单项要求不低于5.5分；部分课程要求有所不同,兰卡斯特大学,
18,仅极少数项目需要（如MBA等）,兰卡斯特大学,
19,"总分：94
阅读：24
写作：24
听力：23
口语：23",伦敦大学学院,
20,"总分：6.5
阅读：6.0
写作：6.0
听力：6.0
口语：6.0",伦敦大学学院,
21,仅极少数项目需要（如经济学等）,伦敦大学学院,
22,,拉夫堡大学,100
23,,拉夫堡大学,6.5
24,,拉夫堡大学,2.8
25,"华威大学语言要求按项目不同而不同：
A级：总分不低于92分，听力、写作不低于21分，阅读不低于22分，口语不低于23分；
B级：总分不低于100分，听力、写作不低于21分，阅读不低于22分，口语不低于23分；
C级：总分不低于108分，各单项不低于23；
D级：总分不低于113分，各单项不低于25。",华威大学,
26,"华威大学语言要求按项目不同而不同：
A级：总分不低于6.5分，单项均不低于6.0分；
B级：总分不低于7.0分，二单项6.0-6.5分，其他单项不低于7.0分；
C级：总分不低于7.5分，二单项6.5-7.0分，其他单项不低于7.5分；
D级：总分不低于7.5分，二单项7.0-7.5分，其他单项不低于8.0分。",华威大学,
