,name,申请材料,申请费,学费,住宿费,生活费,总费用,邮箱,地址,电话,招办网址,书本费
0,剑桥大学,1、在线填写申请表，包含内容大致有：个人信息、联系方式、教育背景、工作经历等、推荐人信息等。2、本科成绩单：中英文对照+公证，截止当前的所有大学成绩单。3、语言成绩单。4、在读证明/毕业证明：中英文对照+公证。5、工作证明/实习证明（如有）：中英文对照+公证。6、荣誉证明（如有）：中英文对照+公证。7、护照扫描件。8、个人陈述：包含在申请表中。9、研究计划：包含在申请表中。10、学术推荐信：1-2封，由推荐人在线上传给学校。11、个人推荐信：1封，仅欲申请盖茨剑桥奖学金（Gates Cambridge）的学生需要递交。12、个人简历：部分项目需要。13、个人作品/论文：部分项目需要,50,28625,2400,9200,45725,Graduate.Admissions@admin.cam.ac.uk,Graduate Admissions Office Academic Division 17 Mill Lane Cambridge CB2 1RX,+44 (0)1223 760606,http://www.graduate.study.cam.ac.uk/how-do-i-apply,
1,牛津大学,1、在线申请表：在线填写。2、成绩单：公证件、原件、中文版、外文版英文、官方。3、推荐人具体信息：需要。4、申请硕士所需材料：研究计划、按学校要求撰写的论文。5、材料提交方式：官网提交、电子邮件、邮寄至学校、第三方平台。6、根据学科要求提交材料：作品集、表演音视频、学校要求其它材料具体要求见各专业。7、推荐信：3封（推荐信内容说明：多数专业要求提交学术推荐信，部分专业同时接受工作推荐信）。9、个人简历：需要。10、申请费交纳：申请费交纳证明、在线提交材料申请费（60英镑）。11、本科毕业证/学位证：外文版。12、个人陈述：需要。13、语言要求与标准化考试成绩：需要,25,17040,9000,11408,40448,graduate.admissions@admin.ox.ac.uk,"Graduate Admissions University Offices Wellington Square Oxford OX1 2JD, UK",+44 (0)1865 270059,http://www.graduate.ox.ac.uk/applyonline,1000
2,圣安德鲁斯大学,1、在线申请表。2、成绩单（复印件、公证件、英文版）。3、两封推荐信（至少一封学术推荐信）。4、个人陈述。5、雅思、托福成绩单。6、本科毕业证、学位证（复印件、公证件、英文版）,50,18470,4258,9000,31728,pgrecruitment@st-andrews.ac.uk，pgt.application@st-andrews.ac.uk,"Admissions University of St Andrews St Katharine's West 16 The Scores St Andrews Fife, KY16 9AX Scotland, UK",+44 (0)1334 46 3325，+44 (0)1334 46 2150,http://www.st-andrews.ac.uk/study/pg/apply/taught/apply/,
3,帝国理工学院,在线申请表	在线填写。个人陈述。材料提交方式	官网提交。申请费交纳	免申请费。推荐信	数量：2。本科毕业证/学位证	1、扫描件；外文版英文。成绩单	1、扫描件；外文版英文。面试	需要。语言要求与标准化考试成绩	需要。推荐人具体信息	需要。其它说明	1、申请商学院需缴纳申请费。,,27100,11000,,,c.eames@imperial.ac.uk,"Registry, Imperial College London, Level 3 Sherfield Building, South Kensington Campus, London SW7 2AZ, UK",+44 (0) 20 7594 2922,https://apply.imperial.ac.uk/login,
4,杜伦大学,1、本科成绩单：中英文对照+公证。2、语言成绩单。3、在读证明/毕业证明：中英文对照+公证。4、工作证明/实习证明（如有）：中英文对照+公证。5、荣誉证明（如有）：中英文对照+公证。6、护照扫描件。7、个人陈述。8、推荐信：一般是2封,60,14900,4230,6975,26256,international.office @durham.ac.uk，pg.admissions@durham.ac.uk,Durham University International Office Palatine Centre Stockton Road Durham DH1 3LE UK,+44 (0) 191 334 6328,https://www.dur.ac.uk/postgraduate/apply/,
5,兰卡斯特大学,1、本科成绩单：中英文对照+公证，截止当前的所有大学成绩单。2、语言成绩单。3、在读证明/毕业证明：中英文对照+公证。4、工作证明/实习证明（如有）：中英文对照+公证。5、荣誉证明（如有）：中英文对照+公证。6、护照扫描件。7、个人陈述：一般是1封。8、推荐信：2封。9、个人简历：一般不需要。10、研究计划：授课型项目不需要；研究型项目需要用以联系导师,,13260,5980,3692,23452,internationaloffice@lancaster.ac.uk,,,http://www.ucas.com/,520
6,伦敦大学学院,1、本科成绩单：中英文对照+公证，截止当前的所有大学成绩单。2、语言成绩单。3、在读证明/毕业证明：中英文对照+公证。4、工作证明/实习证明（如有）：中英文对照+公证。5、荣誉证明（如有）：中英文对照+公证。6、护照扫描件。7、个人陈述。8、推荐信：2封。9、研究计划：授课型项目不需要；研究型项目需要用以联系导师,75,16690,7540,11400,40000,admissions@ucl.ac.uk，international@ucl.ac.uk,UCL International Office  University College London  Gower Street London  WC1E 6BT United Kingdom,+44 (0) 20 7679 7742/7381，+44 (0)20 7679 7765,http://www.ucl.ac.uk/prospective-students/graduate/apply,1000
7,拉夫堡大学,1、在线申请表。2、成绩单：复印件。3、推荐信：2篇。4、推荐人具体信息。5、财产证明。6、语言要求与标准化考试成绩。7、本科毕业证/学位证：复印件,,14300,11000,,25112,international-office@lboro.ac.uk，pgtaught@lboro.ac.uk,"International Office Hazlerigg Building Loughborough University Leicestershire, LE11 3TU UK",+44 01509 222201，+44 1509 222496,http://www.lboro.ac.uk/services/registry/pgapps,1000
8,华威大学,1、本科成绩单：中英文对照+公证，截止当前的所有大学成绩单。2、语言成绩单。3、在读证明/毕业证明：中英文对照+公证。4、工作证明/实习证明（如有）：中英文对照+公证。5、荣誉证明（如有）：中英文对照+公证。6、护照扫描件。7、个人陈述。8、推荐信：一般是2封。9、个人简历：一般不需要。10、研究计划：授课型项目不需要；研究型项目需要用以联系导师,50,17500,5800,6350,28130,pgteam4@warwick.ac.uk，http://www2.warwick.ac.uk/study/postgraduate/contacts/pgenquiry/,"Postgraduate Admissions Team, Student Admissions and Recruitment Office, University of Warwick, Coventry CV4 8UW UK",+44 (0) 24 7652 4585,http://www2.warwick.ac.uk/study/postgraduate/apply/,520
9,利兹大学,1、本科成绩单：中英文对照+公证，截止当前的所有大学成绩单。2、语言成绩单。3、在读证明/毕业证明：中英文对照+公证。4、工作证明/实习证明（如有）：中英文对照+公证。5、荣誉证明（如有）：中英文对照+公证。6、护照扫描件。7、个人陈述。8、推荐信：2封。9、个人简历：授课型项目一般不需要，研究型项目需要。10、研究计划：授课型项目不需要；研究型项目需要用以联系导师。11、资金证明,,14000,6580,9000,23918,study@leeds.ac.uk，internationalwelcome@leeds.ac.uk,International Student Office University of Leeds Level 11 Marjorie & Arnold Ziff Building Leeds LS2 9JT UK,+44 (0) 113 343 3930，+44 (0)113 343 4044,https://application.leeds.ac.uk/,728
