uid,wid,date,content
1824301624,4490731073100859,2020-04-07,【英国offer】求一个选校建议来报个offer1.是利兹的fashionenterpriseandsociety2.是南安的fashionmanagementbg：双非一本均分85+艺术管理类专业有点纠结这两个学校排名差不多专业课程也有点类似利兹好像国内名气较大？但南安时尚好像也挺好将来考虑回国就业～
1824301624,4490723665826259,2020-04-07,PTE考试经验，感谢投稿！
1824301624,4490681764222629,2020-04-07,转发微博
1824301624,4490680220802985,2020-04-07,转参考，感谢投稿！
7330842801,4467897847865048,2020-02-03,准备留学英国的各位宝宝大多数都拿到了offer，播报酱建立了一些大学的offer群，大家可以在群里面分享交流，来群里认领小伙伴吧。如果需要建立别的大学群，可以私信播报酱哦~~
7330842801,4490826559988326,2020-04-07,转发微博
7330842801,4490820612708842,2020-04-07,雅思超话做2020年的考鸭太难，等待放考位的心情太艰难，大家现在都什么状态呢？offer播报酱的微博投票
7330842801,4490786986668270,2020-04-07,今日汇率：1英镑=8.7252人民币1美元=7.0908人民币1欧元=7.6616人民币1澳元=4.3077人民币1加元=5.0325人民币1港元=0.9146人民币（仅供参考）
7330842801,4490770356762165,2020-04-07,水逆退散，都是offer，安全留学
7330842801,4490734197897256,2020-04-07,方案选择？宿舍？化妆？银行？个人问题？让我来一一为你解答
7330842801,4490479418804327,2020-04-05,来英国后这几件事必须要干
7330842801,4490451073254654,2020-04-05,布里斯托大学：如学生无法到校，可选择10周或6周的线上语言课；同时可用普通雅思，PTE和托福iBT成绩申请线上语言课；申请截止日期暂无变化。
7029497065,4360850128835391,2019-04-14,鸭鸭提供英国留学申请相关的全方位服务，只要你能想到的，鸭鸭都有留学申请报名方式：私信备注所需要的服务及要求。名额：19/30英国·伦敦
7029497065,4490783698234464,2020-04-07,//@白日梦猪头少女:发邮件去院系问一下吧，我的offer上没有pte，但我发邮件问了是接受的
7029497065,4490693882085266,2020-04-07,疫情下的英国
7029497065,4490693730608385,2020-04-07,#鸭鸭互助#鸭鸭晚上好想求助大家有推荐的lse的宿舍吗
7029497065,4490693546392564,2020-04-07,#鸭鸭定校小分队#鸭鸭好，想征求一下选校建议目前有ic的硕士，kaustms/phd，CUHKphd都是物理专业，后两个有奖学金，ic硕士需要自费，但是ic毕业了之后肯定也要申博士。想要大家从各个角度提点建议吧~感谢感谢英国offer鸭的微博投票
7029497065,4490693215122867,2020-04-07,#鸭鸭问答#你好，我能不能问一下爱丁堡？如果我3月15号拿到conoffer的话，还可以用pte成绩吗？爱宝应该是从今年一月底开始就不接受PTE了，你看看offerletter，如果offer上面写了接受PTE，就可以用。如果没写，就是不行了。
7029497065,4490692467888831,2020-04-07,留学问题Q&A
7029497065,4490478810787250,2020-04-05,雅思5.5学渣快速出分PTE经验贴
7029497065,4490477615058427,2020-04-05,
1824301624,4490730297082040,2020-04-07,【英国Offer】录圣安mscstatistics1.2-1.17（押金已交不过14天内可退）con雅思7（6.5）均分83布里斯托mscmathematicalscience1.2-1.18con均分90（其实是变相拒个人觉得）曼大mscappliedmathematics3.2-3.10con均分83爱丁堡mscstatisticsandoperationalresearch去年11月中-4.3con雅思6.5均分80拒kcl纯数竞争激烈ucl统计竞争激烈曼大统计竞争激烈等（其实也不等了）墨尔本统计港中文纯数bg60+211数学88+6.5（6）境外交换一段500强实习一段省大创一段数竞省奖奖学金评优若干
1824301624,4490730452023274,2020-04-07,"【新港英申请】报一个offer,它来了后我的港英新申请季终于结束啦nusfin.tl:11.26-2.18-3.31。还是很感谢能在这几个月里一直看到您发的更新，看到大家的经验分享和TL，希望我的也能有所帮助吧。感觉这四个月真的很漫长，但只要一直努力总会有好事降临的吧，希望还在等待的朋友们也能收获幸运申录情况如下：录:nusfin,hkustmimt,kclap拒:lserf&mgt,Warwickfin,iciemWl:uclmgt无消息：ntufin(已面),hkufin,Durhamfin,nusmgt(已面),Warwickbc,ntuAeBg:211,会计,89,710,8。谢谢"
1824301624,4490732204856847,2020-04-07,【欧洲申请】想报个offer。欧洲混申，最后有效的offer一共三个：1️爱尔兰UCDBusinessAnalytics-1年2️瑞典斯德哥尔摩大学AccountingandManagementControl-2年3️比利时根特大学的Accountancy-1年目前打算放弃去爱尔兰了，打算专心读会计考证，选修计算机的基础课，未来的职业方向是做财务分析/如果去瑞典的话尽量申博士拿永居考虑到瑞典疫情控制的不咋地，所以比利时的aps也两手准备着，哪个正常开学就去哪个。也不知道去比利时读一年的会计可以干嘛求意见很纠结！BG：19毕业gap/双非网排300/6.5（6.0）/实习*3专业相关工作至今/低G
1824301624,4490732045878079,2020-04-07,"【英国Offer】叔，传媒类申请求个选校建议offer：曼大：Dtcetl：11.5-4.1格拉：Media,CommunicationsandInternationalJournalismtl：12.3-3.17利兹：Newmediatl：11.5-12.19卡迪夫：DigitalMediaandSocietytl：12.1-1.17rej：kcl：dammWarwick：DigitalMediaandCulture等：爱宝DigitalSocietybg：末流211gpa:86.5三段传媒相关实习美国公益机构实习两个月校内活动*n现在考虑的是曼大和栗子，由于曼大专业是在环发学院的所以有些顾虑，回国认可度啥的；栗子的nm听说不会细致教技术相关的东西，默认你具备编程技能那样；未来发展方面，计划的是在英国工作一段时间再回国（能留下最好了！），综上想求一下就读体验还有选校建议！感恩！！"
7029497065,4490786122824917,2020-04-07,#鸭鸭互助#求助。我的语言成绩没达标6.5（5.5）课程要求是6.5（6.0），可收到的condition里面只要求了学术成绩没有要求雅思。这种情况怎么办啊？问了系里面他们也不清楚让我去问招生办，可现在的情况招生办一直不回邮件。所以现在咋办是默认要达标他只是没有写出来吗？还是说他们考虑以后不打算con我雅思了啊
